date,description,amount,source_file,match_score,name_sim,date_delta_days,plaid_txn_id
2026-04-23,Card Purchase 04/23 Wl *Steam Purchase 425-889-9642 WA Card -,-59.99,9092 Statement May 2026.pdf,3.0000,1.0000,0,bnmpP59b7xSEwyjqbmkKCp4Aqegqz7IKo94AY
2026-04-27,Card Purchase 04/25 Raising Canes 0470 Beaumont CA Card 5058 -,-12.49,9092 Statement May 2026.pdf,1.5000,0.2500,0,54MXgxr6AvTZQd0MNV4aCepzZJ7ZwmF51VELJ
2026-04-27,Card Purchase 04/25 Pacific Dermatology IN Beaumont CA Card -,-8.00,9092 Statement May 2026.pdf,2.3333,0.6667,0,oJyNaqL0QETvQR6P81VJTAKrByaBpeuKyO1aw
2026-04-28,Card Purchase 04/28 Sharetea Beaumont Beaumont CA Card 5058 -,-7.65,9092 Statement May 2026.pdf,3.0000,1.0000,0,JmdpZarLDQc3r4xX19YOHKv57N870VfEqkzgO
2026-04-28,Card Purchase With Pin 04/28 Arco 905016 Palm Springs CA Card 5058 -,-4.14,9092 Statement May 2026.pdf,3.0000,1.0000,0,x1abZokgQLI15oqKevnYIPymMpKM0QUByo1L6
2026-04-29,Card Purchase With Pin 04/29 Sobhy Yousef Banning CA Card 5058 -,-3.39,9092 Statement May 2026.pdf,3.0000,1.0000,0,aJZOQ8nAgaTMvAqz1KOPUQdY7N97x8urb4qPQ
2026-04-30,Card Purchase 04/29 Chipotle 3041 Banning CA Card 5058 -,-13.90,9092 Statement May 2026.pdf,1.6667,0.3333,0,rJmbBAPEYnTrVOn5bXPmSNY8BmrBz5H1ebOJN
2026-05-01,Card Purchase 04/30 Wuthering Waves Hong Kong Card 5058 -,-4.99,9092 Statement May 2026.pdf,3.0000,1.0000,0,0AMXNyrgB3S4zpm3QVkdI0oO6qk6wnHdoJ1Mg
2026-05-04,Card Purchase 05/04 Pp*Apple.Com/Bill 800-275-2273 CA Card 5058 -,-2.99,9092 Statement May 2026.pdf,3.0000,1.0000,0,AyMX9w3JobUdnEmjKovriR59nq4naMfXQjakx
2026-05-04,Card Purchase 05/02 Wuthering Waves Hong Kong Card 5058 -,-9.99,9092 Statement May 2026.pdf,3.0000,1.0000,0,vLrbZJyPXwcpB913bY6ATpkvmPRme7InzgLBO
2026-05-05,Card Purchase 05/04 Chipotle 3041 Banning CA Card 5058 -,-13.90,9092 Statement May 2026.pdf,1.6667,0.3333,0,pJKbX3DanRTAE369b0NDI1gj8ZqBQXuLEePxYo
2026-05-07,Card Purchase 05/06 Kuro Games Hk Card 5058 -,-14.99,9092 Statement May 2026.pdf,3.0000,1.0000,0,nb3Nq169QMSrbgNx7aXASKnNE19P7xSXRQOvz9
2026-05-07,Card Purchase 05/06 Wingstop 835 310-097-3152 CA Card 5058 -,-16.15,9092 Statement May 2026.pdf,3.0000,1.0000,0,QPqprE5xKLcjByRXn49dHxyLYZbqK8FoYy3q88
2026-05-07,Card Purchase 05/07 Dd *Doordashdashpass Doordash.Com CA -,-9.99,9092 Statement May 2026.pdf,3.0000,1.0000,0,RqBX3QjOkDhrMZ8w1azKSJYyMz3BNPIrxVJmwN
2026-05-07,Card Purchase With Pin 05/07 Sobhy Yousef Palm Springs CA Card 5058 -,-4.46,9092 Statement May 2026.pdf,3.0000,1.0000,0,EvMpQ3Nk9ViDNbYz3PZriAV3Q594wNtqm6jbxg
2026-05-08,Card Purchase 05/07 Jersey Mikes Online Https://Prod. NJ Card 5058 -,-12.20,9092 Statement May 2026.pdf,1.6667,0.3333,0,M6LpjoZxqXSk5DBKdmvPHq0vZJmLRgcgZd4ao3
2026-05-15,Monthly Service Fee -,-15.00,9092 Statement May 2026.pdf,3.0000,1.0000,0,VKkpPdOrjBUJXY5b3mPAuxLQNz7J9PFJ1OZ3Vp
2026-05-15,Online Transfer From Sav ...2257 Transaction#: 29235808137,3400.00,9092 Statement May 2026.pdf,3.0000,1.0000,0,OD1p79QP3wcv5ZAV6jNLTmrBMDvJR6tPdoLvyk
