date,description,amount,source_file
2021-10-25,Card Purchase 10/21 IN N Out Burger 108 Goleta CA Card 5058 -,-9.59,9092 Statement Oct 2021.pdf
2021-10-27,Card Purchase 10/26 Carls Jr 1100427 Goleta CA Card 5058 -,-13.34,9092 Statement Oct 2021.pdf
2021-10-28,Card Purchase 10/27 Ucsb Univ Cntr Arb Q Santa Barbara CA Card -,-7.90,9092 Statement Oct 2021.pdf
2021-10-29,Card Purchase 10/28 Ucsb Univ Cntr Arb Q Santa Barbara CA Card -,-4.35,9092 Statement Oct 2021.pdf
2021-10-29,Recurring Card Purchase 10/28 Discord* Nitromonthl Httpsdiscord. CA Card -,-9.99,9092 Statement Oct 2021.pdf
2021-11-02,Card Purchase 11/01 Af*Recreate Property 805-419-5568 CA Card -,-1209.99,9092 Statement Oct 2021.pdf
2021-11-03,Card Purchase With Pin 11/03 Fairview Fuel D Goleta CA Card 5058 -,-40.00,9092 Statement Oct 2021.pdf
2021-11-05,Card Purchase 11/04 Ucsb Univ Cntr Arb Q Santa Barbara CA Card -,-4.35,9092 Statement Oct 2021.pdf
2021-11-08,Card Purchase 11/05 IN N Out Burger 108 Goleta CA Card 5058 -,-9.59,9092 Statement Oct 2021.pdf
2021-11-08,Card Purchase 11/07 Uber* Eats Httpswww.Uber CA Card 5058 -,-19.07,9092 Statement Oct 2021.pdf
2021-11-08,Card Purchase 11/07 Uber Eats Help.Uber.Com CA Card 5058 -,-3.00,9092 Statement Oct 2021.pdf
2021-11-08,Card Purchase 11/08 Uber Eats Help.Uber.Com CA Card 5058 -,-13.65,9092 Statement Oct 2021.pdf
2021-11-08,Card Purchase 11/08 Uber Eats Help.Uber.Com CA Card 5058 -,-3.00,9092 Statement Oct 2021.pdf
2021-11-12,Card Purchase 11/11 Carls Jr 1100427 Goleta CA Card 5058 -,-13.66,9092 Statement Oct 2021.pdf
2021-11-12,Card Purchase With Pin 11/11 Chevron/Csi-093005/186 Carpinteria CA -,-45.29,9092 Statement Oct 2021.pdf
2021-11-15,Card Purchase 11/15 Gong Cha Cerritos Cerritos CA Card 5058 -,-6.75,9092 Statement Oct 2021.pdf
2021-11-15,Card Purchase With Pin 11/14 Chevron/Sigma Petroleu Cerritos CA Card -,-40.00,9092 Statement Oct 2021.pdf
2021-11-16,Card Purchase 11/15 Ucsb Univ Cntr Arb Q Santa Barbara CA Card -,-5.55,9092 Statement Oct 2021.pdf
2021-11-17,Card Purchase 11/17 Domino's 7816 805-564-4303 CA Card 5058 -,-10.42,9092 Statement Nov 2021.pdf
2021-11-18,Card Purchase 11/17 Ucsb Univ Cntr Arb Q Santa Barbara CA Card -,-5.75,9092 Statement Nov 2021.pdf
2021-11-19,Card Purchase 11/18 Sp * Customenvy.Com Www.Putacaseo OH -,-31.98,9092 Statement Nov 2021.pdf
2021-11-22,Card Purchase 11/19 Mihoyo Limited Hong Kong Card 5058 -,-4.99,9092 Statement Nov 2021.pdf
2021-11-22,Card Purchase 11/20 Domino's 7816 805-564-4303 CA Card 5058 -,-20.41,9092 Statement Nov 2021.pdf
2021-11-22,Card Purchase 11/20 Ops* Coinmach Sunnysi 516-349-8555 NY -,-50.00,9092 Statement Nov 2021.pdf
2021-11-24,Card Purchase With Pin 11/24 Stop & Shop Santa Barbara CA Card 5058 -,-40.00,9092 Statement Nov 2021.pdf
2021-11-26,Card Purchase 11/24 Chick-Fil-A #04524 Yucaipa CA Card 5058 -,-9.36,9092 Statement Nov 2021.pdf
2021-11-26,Card Purchase With Pin 11/25 Walgreens Store 60 N H Banning CA Card -,-7.26,9092 Statement Nov 2021.pdf
2021-11-29,Card Purchase 11/28 IN N Out Burger 355 Beaumont CA Card 5058 -,-7.33,9092 Statement Nov 2021.pdf
2021-11-29,Recurring Card Purchase 11/28 Discord* Nitromonthl Httpsdiscord. CA Card -,-9.99,9092 Statement Nov 2021.pdf
2021-12-02,Recurring Card Purchase 12/01 Af*Recreate Property 805-419-5568 CA -,-1209.99,9092 Statement Nov 2021.pdf
2021-12-14,Card Purchase 12/14 Ucsb Tps Ecomm Sales 805-893-4258 CA Card -,-48.00,9092 Statement Nov 2021.pdf
2022-01-04,Card Purchase 01/04 Awl*Pearson Education Prsoncs.Com NJ Card -,-74.99,9092 Statement Jan 2022.pdf
2022-02-16,Card Purchase 02/15 Ucsb Univ Cntr Arb Q Santa Barbara CA Card -,-0.34,9092 Statement Feb 2022.pdf
2022-02-17,Card Purchase 02/17 Dd Doordash Chick-Fil 855-973-1040 CA Card -,-22.64,9092 Statement Feb 2022.pdf
2022-02-22,Card Purchase 02/20 Dd Doordash Chick-Fil 855-973-1040 CA Card -,-22.45,9092 Statement Feb 2022.pdf
2022-02-22,Card Purchase 02/22 Dd Doordash Eureka 855-973-1040 CA Card -,-17.87,9092 Statement Feb 2022.pdf
2022-02-23,Card Purchase 02/23 Dd Doordash Chick-Fil 855-973-1040 CA Card -,-18.05,9092 Statement Feb 2022.pdf
2022-02-24,Card Purchase 02/24 Dd Doordash Hanakitch 855-973-1040 CA Card -,-15.87,9092 Statement Feb 2022.pdf
2022-02-28,Card Purchase 02/28 Dd Doordash Galangath 855-973-1040 CA -,-17.87,9092 Statement Feb 2022.pdf
2022-02-28,Card Purchase 02/26 Dd Doordash Chick-Fil 855-973-1040 CA Card -,-16.48,9092 Statement Feb 2022.pdf
2022-02-28,Card Purchase 02/27 Dd Doordash Galangath 855-973-1040 CA -,-17.87,9092 Statement Feb 2022.pdf
2022-03-02,Recurring Card Purchase 03/01 Af*Recreate Property 805-765-1335 CA -,-1209.99,9092 Statement Feb 2022.pdf
2022-03-04,Card Purchase 03/03 Dd Doordash Eureka 855-973-1040 CA Card -,-21.62,9092 Statement Feb 2022.pdf
2022-03-04,Card Purchase 03/04 Dd Doordash Hanakitch 855-973-1040 CA Card -,-16.31,9092 Statement Feb 2022.pdf
2022-03-07,Card Purchase 03/05 Dd Doordash Hanakitch 855-973-1040 CA Card -,-15.88,9092 Statement Feb 2022.pdf
2022-03-07,Card Purchase 03/05 Dd Doordash Hanakitch 855-973-1040 CA Card -,-9.24,9092 Statement Feb 2022.pdf
2022-03-07,Card Purchase 03/06 Dd Doordash Hanakitch 855-973-1040 CA Card -,-15.65,9092 Statement Feb 2022.pdf
2022-03-07,Card Purchase 03/06 Dd Doordash Hanakitch 855-973-1040 CA Card -,-15.53,9092 Statement Feb 2022.pdf
2022-03-08,Card Purchase With Pin 03/08 World Oil #104 Goleta CA Card 5058 -,-50.00,9092 Statement Feb 2022.pdf
2022-03-08,Card Purchase 03/07 Uber Eats Help.Uber.Com CA Card 5058 -,-5.65,9092 Statement Feb 2022.pdf
2022-03-08,Card Purchase 03/07 Uber Eats Help.Uber.Com CA Card 5058 -,-2.00,9092 Statement Feb 2022.pdf
2022-03-08,Card Purchase 03/08 Dd Doordash Hanakitch 855-973-1040 CA Card -,-15.65,9092 Statement Feb 2022.pdf
2022-03-09,Card Purchase 03/09 Dd Doordash Hanakitch 855-973-1040 CA Card -,-15.65,9092 Statement Feb 2022.pdf
2022-03-09,Recurring Card Purchase 03/09 Doordash Dashpass Www.Doordash. CA -,-9.99,9092 Statement Feb 2022.pdf
2022-03-10,Card Purchase 03/10 Dd Doordash Hanakitch 855-973-1040 CA Card -,-15.65,9092 Statement Feb 2022.pdf
2022-03-10,Card Purchase 03/10 Dd Doordash Chick-Fil 855-973-1040 CA Card -,-16.43,9092 Statement Feb 2022.pdf
2022-03-14,Card Purchase 03/14 Dd Doordash Rudysmexi 855-973-1040 CA -,-13.85,9092 Statement Feb 2022.pdf
2022-03-14,Card Purchase 03/12 Dd Doordash Rudysmexi 855-973-1040 CA -,-15.65,9092 Statement Feb 2022.pdf
2022-03-14,Card Purchase 03/13 Dd Doordash Rudysmexi 855-973-1040 CA -,-15.65,9092 Statement Feb 2022.pdf
2022-03-15,Card Purchase 03/15 Dd Doordash Chick-Fil 855-973-1040 CA Card -,-16.43,9092 Statement Feb 2022.pdf
2022-03-15,Card Purchase 03/15 Dd Doordash Rudysmexi 855-973-1040 CA -,-13.85,9092 Statement Feb 2022.pdf
2022-03-16,Card Purchase 03/16 Dd Doordash Eureka 855-973-1040 CA Card -,-21.62,9092 Statement Mar 2022.pdf
2022-03-16,Card Purchase 03/16 Dd Doordash Galangath 855-973-1040 CA -,-17.87,9092 Statement Mar 2022.pdf
2022-03-17,Card Purchase 03/16 Parchment-Univ Docs 480-719-1646 AZ Card -,-16.00,9092 Statement Mar 2022.pdf
2022-03-21,Card Purchase 03/19 MT. San Jacinto Colleg 951-4873040 CA Card -,-169.00,9092 Statement Mar 2022.pdf
2022-03-28,Card Purchase With Pin 03/27 Best Buy 00014415 Beaumont CA Card -,-10.76,9092 Statement Mar 2022.pdf
2022-04-06,Recurring Card Purchase 04/06 Uber Pass Help.Uber.Com CA Card 5058 -,-9.99,9092 Statement Mar 2022.pdf
2022-04-08,Card Purchase 04/08 Dd Doordash Wendys 855-973-1040 CA Card -,-18.82,9092 Statement Mar 2022.pdf
2022-04-11,Card Purchase Return 04/10 Best Buy 00014415 Beaumont CA Card,10.76,9092 Statement Mar 2022.pdf
2022-04-11,Card Purchase 04/11 Dd Doordash Wendys 855-973-1040 CA Card -,-18.82,9092 Statement Mar 2022.pdf
2022-04-11,Recurring Card Purchase 04/09 Doordash Dashpass Www.Doordash. CA -,-9.99,9092 Statement Mar 2022.pdf
2022-04-15,Card Purchase 04/14 Laptop Masters Upland CA Card 5058 -,-123.10,9092 Statement Mar 2022.pdf
2022-04-25,Card Purchase 04/23 Steamgames.Com 4259522 425-8899642 WA -,-9.99,9092 Statement Apr 2022.pdf
2022-04-26,Card Purchase 04/25 Domino's 8431 951-769-5777 CA Card 5058 -,-19.96,9092 Statement Apr 2022.pdf
2022-05-09,Recurring Card Purchase 05/07 Uber Pass Help.Uber.Com CA Card 5058 -,-9.99,9092 Statement Apr 2022.pdf
2022-05-09,Recurring Card Purchase 05/09 Doordash Dashpass Www.Doordash. CA -,-9.99,9092 Statement Apr 2022.pdf
2022-05-11,Remote Online Deposit 1,1091.85,9092 Statement Apr 2022.pdf
2022-05-12,Card Purchase 05/11 Resume-Now.Com 844-351-7484 Card 5058 -,-2.85,9092 Statement Apr 2022.pdf
2022-05-17,Card Purchase 05/17 Dd Doordash Jackinthe 855-973-1040 CA Card -,-15.67,9092 Statement May 2022.pdf
2022-05-17,Card Purchase 05/16 Domino's 8431 951-769-5777 CA Card 5058 -,-18.11,9092 Statement May 2022.pdf
2022-05-18,Card Purchase 05/17 MT. San Jacinto Colleg 951-4873040 CA Card -,-437.00,9092 Statement May 2022.pdf
2022-05-27,Card Purchase 05/26 Resume-Now.Com 844-351-7484 Card 5058 -,-23.85,9092 Statement May 2022.pdf
2022-05-27,Card Purchase 05/26 East Wall Chinese Resta Beaumont CA Card -,-51.96,9092 Statement May 2022.pdf
2022-06-03,Card Purchase 06/03 Dd Doordash Burgerkin 855-973-1040 CA Card -,-16.65,9092 Statement May 2022.pdf
2022-06-06,Card Purchase With Pin 06/06 Shell Service Station Murrieta CA Card 5058 -,-53.20,9092 Statement May 2022.pdf
2022-06-08,Card Purchase 06/07 Domino's 8431 951-769-5777 CA Card 5058 -,-9.38,9092 Statement May 2022.pdf
2022-06-09,Recurring Card Purchase 06/09 Doordash Dashpass Www.Doordash. CA -,-9.99,9092 Statement May 2022.pdf
2022-06-13,Card Purchase 06/12 Zybook College Txtbo Httpswww.Zybo CA Card -,-58.00,9092 Statement May 2022.pdf
2022-07-22,Card Purchase 07/21 Resume-Now.Com 844-351-7484 Card 5058 -,-23.85,9092 Statement Jul 2022.pdf
2022-07-25,Card Purchase 07/24 Chegg Order 855-440-1323 CA Card 5058 -,-15.95,9092 Statement Jul 2022.pdf
2022-07-28,Card Purchase 07/28 Dd Doordash Kfc 855-973-1040 CA Card 5058 -,-18.05,9092 Statement Jul 2022.pdf
2022-08-03,Card Purchase 08/03 Dd Doordash Burgerkin 855-973-1040 CA Card -,-17.10,9092 Statement Jul 2022.pdf
2022-08-05,Card Purchase 08/04 MT. San Jacinto Colleg 951-4873040 CA Card -,-316.00,9092 Statement Jul 2022.pdf
2022-08-05,Card Purchase 08/05 Dd Doordash Kfc 855-973-1040 CA Card 5058 -,-17.55,9092 Statement Jul 2022.pdf
2022-08-09,Recurring Card Purchase 08/09 Doordash Dashpass Www.Doordash. CA -,-9.99,9092 Statement Jul 2022.pdf
2022-08-11,Card Purchase 08/11 Dd Doordash Kfc 855-973-1040 CA Card 5058 -,-17.55,9092 Statement Jul 2022.pdf
2022-08-12,Card Purchase 08/12 Dd Doordash Kfc 855-973-1040 CA Card 5058 -,-17.55,9092 Statement Jul 2022.pdf
2022-08-17,Card Purchase With Pin 08/17 Wal-Mart #5156 Beaumont CA Card 5058 -,-52.68,9092 Statement Aug 2022.pdf
2022-08-17,Card Purchase With Pin 08/17 Wal-Mart #5156 Beaumont CA Card 5058 -,-13.74,9092 Statement Aug 2022.pdf
2022-08-19,Card Purchase 08/18 Resume-Now.Com 844-351-7484 Card 5058 -,-23.85,9092 Statement Aug 2022.pdf
2022-08-23,Recurring Card Purchase 08/23 Chegg Order 855-440-1323 CA Card 5058 -,-4.95,9092 Statement Aug 2022.pdf
2022-08-24,Card Purchase 08/23 Bnc Services 800-325-3252 MO Card 5058 -,-31.84,9092 Statement Aug 2022.pdf
2022-08-25,Card Purchase 08/24 MT. San Jacinto Colleg 951-4873040 CA Card -,-138.00,9092 Statement Aug 2022.pdf
2022-08-30,Card Purchase With Pin 08/30 Wal-Mart #5156 Beaumont CA Card 5058 -,-8.76,9092 Statement Aug 2022.pdf
2022-08-30,Card Purchase With Pin 08/30 Staterbro 1661 E 6th S Beaumont CA Card -,-2.62,9092 Statement Aug 2022.pdf
2022-09-01,Card Purchase 09/01 Steam Purchase 425-9522985 WA Card 5058 -,-19.99,9092 Statement Aug 2022.pdf
2022-09-02,Card Purchase 09/01 MT. San Jacinto Colleg 951-4873040 CA Card -,-138.00,9092 Statement Aug 2022.pdf
2022-09-06,Card Purchase 09/03 IN N Out Burger 355 Beaumont CA Card 5058 -,-9.75,9092 Statement Aug 2022.pdf
2022-09-07,Card Purchase 09/07 Dd Doordash Fiveguysb 855-973-1040 CA Card -,-24.82,9092 Statement Aug 2022.pdf
2022-09-08,Card Purchase 09/06 IN N Out Burger 355 Beaumont CA Card 5058 -,-9.75,9092 Statement Aug 2022.pdf
2022-09-09,Recurring Card Purchase 09/09 Doordash Dashpass Www.Doordash. CA -,-9.99,9092 Statement Aug 2022.pdf
2022-09-12,Card Purchase 09/10 Dd Doordash Panerabre 855-973-1040 CA -,-15.30,9092 Statement Aug 2022.pdf
2022-09-12,Card Purchase 09/10 Dd Doordash Popeyes 855-973-1040 CA Card -,-17.72,9092 Statement Aug 2022.pdf
2022-09-16,Card Purchase 09/15 Resume-Now.Com 844-351-7484 Card 5058 -,-23.85,9092 Statement Aug 2022.pdf
2022-09-16,Monthly Service Fee -,-12.00,9092 Statement Aug 2022.pdf
2022-09-19,Payment Sent 09/16 Apple Cash 1Infiniteloop CA Card 5058 -,-20.00,9092 Statement Sep 2022.pdf
2022-09-23,Recurring Card Purchase 09/23 Chegg Order 855-440-1323 CA Card 5058 -,-15.95,9092 Statement Sep 2022.pdf
2022-09-26,Card Purchase 09/23 IN N Out Burger 355 Beaumont CA Card 5058 -,-9.75,9092 Statement Sep 2022.pdf
2022-09-26,Card Purchase 09/23 Sugoi Sushi Beaumont CA Card 5058 -,-18.26,9092 Statement Sep 2022.pdf
2022-09-26,Card Purchase 09/24 Tst* Domenicos - Beaumo Beaumont CA Card -,-18.26,9092 Statement Sep 2022.pdf
2022-09-27,Card Purchase With Pin 09/27 Big 5 Sporting Goods 4 Banning CA Card -,-26.93,9092 Statement Sep 2022.pdf
2022-09-27,Card Purchase With Pin 09/27 Wm Superc Wal-Mart Sup Beaumont CA -,-4.48,9092 Statement Sep 2022.pdf
2022-09-29,Card Purchase With Pin 09/29 Wm Superc Wal-Mart Sup Beaumont CA -,-7.96,9092 Statement Sep 2022.pdf
2022-09-29,Card Purchase With Pin 09/29 Petco 1171 Beaumont CA Card 5058 -,-53.09,9092 Statement Sep 2022.pdf
2022-10-11,Recurring Card Purchase 10/09 Doordash Dashpass Www.Doordash. CA -,-9.99,9092 Statement Sep 2022.pdf
2022-10-11,Card Purchase With Pin 10/11 Wal-Mart Super Center Beaumont CA Card -,-21.81,9092 Statement Sep 2022.pdf
2022-10-11,Card Purchase 10/10 Tst* Domenicos - Beaumo Beaumont CA Card -,-18.26,9092 Statement Sep 2022.pdf
2022-10-11,Card Purchase 10/09 Cognosphere Pte. Ltd Singapore Card 5058 -,-9.99,9092 Statement Sep 2022.pdf
2022-10-14,Card Purchase 10/13 Resume-Now.Com 844-351-7484 Card 5058 -,-23.85,9092 Statement Sep 2022.pdf
2022-10-18,Monthly Service Fee -,-12.00,9092 Statement Sep 2022.pdf
2022-10-19,Card Purchase 10/19 Dd Doordash Domenicos 855-973-1040 CA -,-22.11,9092 Statement Oct 2022.pdf
2022-10-19,Card Purchase 10/17 IN N Out Burger 355 Beaumont CA Card 5058 -,-9.75,9092 Statement Oct 2022.pdf
2022-10-20,Card Purchase With Pin 10/19 Wal-Mart #5156 Beaumont CA Card 5058 -,-21.35,9092 Statement Oct 2022.pdf
2022-10-21,Card Purchase 10/20 Parchment-Univ Docs 480-719-1646 AZ Card -,-4.15,9092 Statement Oct 2022.pdf
2022-10-24,Card Purchase 10/22 Dd Doordash Domenicos 855-973-1040 CA -,-22.11,9092 Statement Oct 2022.pdf
2022-10-24,Recurring Card Purchase 10/23 Chegg Order 855-440-1323 CA Card 5058 -,-15.95,9092 Statement Oct 2022.pdf
2022-11-01,Card Purchase 10/30 IN N Out Burger 355 Beaumont CA Card 5058 -,-9.75,9092 Statement Oct 2022.pdf
2022-11-04,"Card Purchase 11/03 Univ CA, Santa Barb On 800-3398131 CA Card -",-53.00,9092 Statement Oct 2022.pdf
2022-11-04,"Card Purchase 11/03 Univ CA, Santa Barb On 800-3398131 CA Card -",-1.46,9092 Statement Oct 2022.pdf
2022-11-14,Card Purchase 11/10 Resume-Now.Com 844-351-7484 Card 5058 -,-23.85,9092 Statement Oct 2022.pdf
2022-11-14,Card Purchase Return 11/14 Chegg Order 855-868-1054 CA Card 5058,15.95,9092 Statement Oct 2022.pdf
2022-11-16,Monthly Service Fee -,-12.00,9092 Statement Oct 2022.pdf
2022-12-01,Card Purchase 12/01 Univ Cal Undergrad Ad 800-207-1710 CA Card -,-280.00,9092 Statement Nov 2022.pdf
2022-12-05,Card Purchase 12/04 Paypal *Mtsanjacint 951-487-3172 CA Card -,-6.12,9092 Statement Nov 2022.pdf
2022-12-05,Card Purchase 12/04 Pp*Apple.Com/Bill 402-935-7733 CA Card 5058 -,-2.99,9092 Statement Nov 2022.pdf
2022-12-08,Online Transfer From Chk ...3122 Transaction#: 15989757960,3000.00,9092 Statement Nov 2022.pdf
2022-12-09,Card Purchase 12/09 Dd Doordash Kfc 855-973-1040 CA Card 5058 -,-23.35,9092 Statement Nov 2022.pdf
2022-12-09,Card Purchase 12/08 MT. San Jacinto Colleg 951-4873040 CA Card -,-546.00,9092 Statement Nov 2022.pdf
2022-12-13,Card Purchase 12/12 MT. San Jacinto Colleg 951-4873040 CA Card -,-138.00,9092 Statement Nov 2022.pdf
2022-12-14,Card Purchase 12/14 Dd Doordash Kfc 855-973-1040 CA Card 5058 -,-23.35,9092 Statement Nov 2022.pdf
2022-12-15,Monthly Service Fee -,-12.00,9092 Statement Nov 2022.pdf
2022-12-24,"Card Purchase 12/23 Univ CA, Santa Barb On 800-3398131 CA Card -",-1644.66,9092 Statement Jan 2022.pdf
2022-12-24,"Card Purchase 12/23 Univ CA, Santa Barb On 800-3398131 CA Card -",-45.23,9092 Statement Jan 2022.pdf
2022-12-29,Recurring Card Purchase 12/28 Discord* Nitromonthl Httpsdiscord. CA Card -,-9.99,9092 Statement Jan 2022.pdf
2023-01-26,Card Purchase 01/25 MT. San Jacinto Colleg 951-4873040 CA Card -,-138.00,9092 Statement Jan 2023.pdf
2023-01-30,Card Purchase With Pin 01/29 Wm Superc Wal-Mart Sup Beaumont CA -,-9.02,9092 Statement Jan 2023.pdf
2023-01-30,Card Purchase 01/26 IN N Out Burger 355 Beaumont CA Card 5058 -,-10.29,9092 Statement Jan 2023.pdf
2023-01-30,Card Purchase 01/28 Awl*Pearson Education Prsoncs.Com NJ Card -,-64.99,9092 Statement Jan 2023.pdf
2023-02-01,Card Purchase With Pin 02/01 Shell Service Station Beaumont CA Card -,-43.70,9092 Statement Jan 2023.pdf
2023-02-06,Recurring Card Purchase 02/05 Cko*Patreon* Membershi 833-9728766 CA -,-6.00,9092 Statement Jan 2023.pdf
2023-02-06,Card Purchase 02/04 Pp*Apple.Com/Bill 402-935-7733 CA Card 5058 -,-2.99,9092 Statement Jan 2023.pdf
2023-02-08,Card Purchase 02/08 Raising Cane's 470 Beaumont CA Card 5058 -,-18.16,9092 Statement Jan 2023.pdf
2023-02-09,Card Purchase 02/09 Raising Cane's 470 Beaumont CA Card 5058 -,-18.16,9092 Statement Jan 2023.pdf
2023-02-13,Card Purchase 02/12 Dd Doordash Domenicos 855-973-1040 CA -,-28.25,9092 Statement Jan 2023.pdf
2023-02-15,Card Purchase With Pin 02/15 Tramway Fuel Palm Springs CA Card 5058 -,-45.00,9092 Statement Jan 2023.pdf
2023-02-15,Monthly Service Fee -,-12.00,9092 Statement Jan 2023.pdf
2023-02-17,Payment Sent 02/17 Cash App*Chaz 8774174551 CA Card 5058 -,-2.00,9092 Statement Feb 2023.pdf
2023-02-21,Card Purchase 02/19 Microsoft*Store 425-6816830 WA Card 5058 -,-1.00,9092 Statement Feb 2023.pdf
2023-02-21,Card Purchase Return 02/19 Microsoft*Store 425-6816830 WA Card 5058,4.99,9092 Statement Feb 2023.pdf
2023-02-21,Card Purchase 02/19 Microsoft*Store 425-6816830 WA Card 5058 -,-4.99,9092 Statement Feb 2023.pdf
